user_id,is_gmail,subscription_id,has_facebook,followers_count,followees_count,users_btw_user_and_inviter,reg_hour,reg_weekday,device_is_limited_ad_tracking,push_allowed,battery_save_mode,steps_provider_is_set,watch_is_paired,inviter_invited_count,invited_count,is_ios,is_email_status_good,Actual,Predicted
5306861,1,3,1,3,1,-206,8,4,0,1,0,1,0,24,2,0,0,0,0.9016980913562254
5306861,1,3,1,3,1,-206,8,4,0,1,0,1,0,24,2,0,0,0,0.9016980913562254
5306861,1,3,1,3,1,-206,8,4,0,1,0,1,0,24,2,0,0,0,0.9016980913562254
33114535,1,3,1,1,0,0,21,2,0,1,0,1,0,0,0,0,0,0,0.9016426890814865
9269868,1,3,1,0,0,-20280,19,2,0,1,0,1,0,5,0,0,0,0,0.9016379730536066
9269868,1,3,1,0,0,-20280,19,2,0,1,0,1,0,5,0,0,0,0,0.9016379730536066
9269868,1,3,1,0,0,-20280,19,2,0,1,0,1,0,5,0,0,0,0,0.9016379730536066
9269868,1,3,1,0,0,-20280,19,2,0,1,0,1,0,5,0,0,0,0,0.9016379730536066
23846224,1,3,1,1,1,15373,9,4,0,1,0,1,0,2,0,0,0,0,0.9016302407381456
25275368,1,3,1,1,1,0,21,2,0,1,0,1,0,0,0,0,0,0,0.9016273027220533
18673876,0,2,1,0,1,-32616,20,3,0,1,1,0,0,112267,0,1,0,0,0.9016064489897728
126828,1,3,1,12,4,0,8,4,0,1,0,1,0,0,5,0,0,0,0.9016004972156351
126828,1,3,1,12,4,0,8,4,0,1,0,1,0,0,5,0,0,0,0.9016004972156351
126828,1,3,1,12,4,0,8,4,0,1,0,1,0,0,5,0,0,0,0.9016004972156351
126828,1,3,1,12,4,0,8,4,0,1,0,1,0,0,5,0,0,0,0.9016004972156351
1918860,0,3,1,2,2,-5920,9,4,0,1,0,1,0,25453,0,0,0,0,0.9015942606162366
1918860,0,3,1,2,2,-5920,9,4,0,1,0,1,0,25453,0,0,0,0,0.9015942606162366
1918860,0,3,1,2,2,-5920,9,4,0,1,0,1,0,25453,0,0,0,0,0.9015942606162366
1918860,0,3,1,2,2,-5920,9,4,0,1,0,1,0,25453,0,0,0,0,0.9015942606162366
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
8218307,1,3,1,3,5,-9687,20,2,0,1,0,1,0,1,2,0,0,0,0.901545628819459
6290611,1,3,1,4,3,8154,21,2,0,1,0,1,0,131,3,0,0,0,0.9015353992891822
6290611,1,3,1,4,3,8154,21,2,0,1,0,1,0,131,3,0,0,0,0.9015353992891822
6290611,1,3,1,4,3,8154,21,2,0,1,0,1,0,131,3,0,0,0,0.9015353992891822
6290611,1,3,1,4,3,8154,21,2,0,1,0,1,0,131,3,0,0,0,0.9015353992891822
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
7670527,1,2,1,4,2,20130,21,4,0,1,1,0,0,85227,0,1,0,0,0.9015217155821473
6826180,1,2,1,0,1,-20196,22,5,0,1,0,0,0,54435,0,1,0,0,0.9015096639946449
6826180,1,2,1,0,1,-20196,22,5,0,1,0,0,0,54435,0,1,0,0,0.9015096639946449
6826180,1,2,1,0,1,-20196,22,5,0,1,0,0,0,54435,0,1,0,0,0.9015096639946449
6826180,1,2,1,0,1,-20196,22,5,0,1,0,0,0,54435,0,1,0,0,0.9015096639946449
27475932,1,3,1,0,0,0,20,2,0,1,0,1,0,0,0,0,0,0,0.9015064716618435
1470083,1,5,1,5,5,-31295,9,1,0,0,0,0,0,4452,2,0,1,0,0.9014927924820699
1470083,1,5,1,5,5,-31295,9,1,0,0,0,0,0,4452,2,0,1,0,0.9014927924820699
1470083,1,5,1,5,5,-31295,9,1,0,0,0,0,0,4452,2,0,1,0,0.9014927924820699
1470083,1,5,1,5,5,-31295,9,1,0,0,0,0,0,4452,2,0,1,0,0.9014927924820699
6526409,1,3,1,5,5,0,7,4,0,1,0,1,0,0,4,0,0,0,0.9014734161837656
6526409,1,3,1,5,5,0,7,4,0,1,0,1,0,0,4,0,0,0,0.9014734161837656
6526409,1,3,1,5,5,0,7,4,0,1,0,1,0,0,4,0,0,0,0.9014734161837656
6526409,1,3,1,5,5,0,7,4,0,1,0,1,0,0,4,0,0,0,0.9014734161837656
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
5522424,1,2,1,9,10,-1282,16,5,0,0,0,0,0,23744,6,1,0,0,0.9014550868467024
